dep,moyenne,d1,d9,min,max,gini,facility
41,5.70104685423231,1.02,12.61,1,43.54,0.44421155082498526,ecole
42,5.988285609764658,1,15.96,1,48.19,0.5061536386802418,ecole
43,9.410657093768645,1.58,19.38,1,48.9,0.41521139043141575,ecole
44,5.419264986509558,1,12.49,1,38.76,0.47099005250098036,ecole
45,4.090108559549531,1,9.56,1,45.18,0.4366767939478556,ecole
46,7.849235619081563,1.46,15.1,1,39.88,0.38430580798150193,ecole
47,5.752665312293301,1,13.12,1,42.35,0.4619648705742675,ecole
48,15.682445987543847,1.69,31.06,1,58.31,0.40066789139522785,ecole
49,6.511568462823357,1.3,13.6,1,45.43,0.4132785379414449,ecole
50,8.919354180116535,2.01,16.42,1,29.18,0.34686184511407403,ecole
51,3.8765127567609627,1,9.88,1,39.45,0.5019574579320557,ecole
52,7.797968000485761,1.36,16.8,1,32.41,0.425879203516818,ecole
53,6.754476940080153,1.24,14.12,1,27.92,0.4236547389479333,ecole
54,3.86574679876281,1,9.31,1,47.91,0.4876554540657081,ecole
55,8.575832423486686,1.6,18.8,1,36.05,0.4323145201776631,ecole
56,10.870863811618996,1.95,21.63,1,44.54,0.3960488210421893,ecole
57,3.413270253618945,1,7.25,1,29.46,0.41449584261069644,ecole
58,7.848172673238695,1.33,18.05,1,39.89,0.4524818174886788,ecole
59,3.0644141739154476,1,6.97,1,26.24,0.4097755272639629,ecole
60,3.7815331230517852,1,8.34,1,23.8,0.42154965459777766,ecole
61,13.49871082553662,2.51,23.49,1,42.83,0.33461820171992546,ecole
62,3.5078089472927734,1,7.7,1,31.45,0.40314779061106376,ecole
63,5.059083397365227,1,12.08,1,51.36,0.500344282986822,ecole
64,6.189793192654889,1.25,13.36,1,66.29,0.4590883665295548,ecole
65,5.605355926972072,1.1,11.97,1,38.95,0.4464741909982378,ecole
66,3.1161591895803182,1,6.41,1,52.66,0.4356436357187152,ecole
67,3.2933272881856896,1,7.39,1,37.82,0.42926448465611033,ecole
68,3.7066261626284547,1,8.63,1,51.02,0.4691782090524371,ecole
69,2.9415033805536765,1,6.21,1,31.42,0.4344498365741135,ecole
70,9.50239828460718,1.55,19.44,1,52.48,0.40213441733568667,ecole
71,5.4521722895252775,1.07,11.68,1,35.12,0.44567291402482906,ecole
72,6.031104336031025,1,14.31,1,43.3,0.4908099147484688,ecole
73,5.4318102277304705,1,12.92,1,106.53,0.5180290905252273,ecole
74,6.58203792996248,1.38,13.84,1,67.96,0.4371786397758384,ecole
75,1.480917129637987,1,2.61,1,15.11,0.2441316481837677,ecole
76,3.259433704817579,1,7.53,1,40.74,0.44555487986367576,ecole
77,2.7625052678903588,1,6.06,1,38.54,0.41042886985388477,ecole
78,2.178267509675431,1,4.04,1,27.78,0.3599236464167814,ecole
79,7.42712981719536,1.43,14.96,1,31.24,0.4130156192978325,ecole
80,5.761950451637185,1,12.37,1,32.18,0.43350835270595955,ecole
81,8.243180178589778,1.53,15.95,1,86.71,0.39313945913372667,ecole
82,6.0789825991102715,1.1,12.57,1,38.25,0.4224684638614525,ecole
83,3.360022068650626,1,7.46,1,47.38,0.44102959262198754,ecole
84,3.4327506725085697,1,7.52,1,44.57,0.40935609694502917,ecole
85,10.212157105793755,1.78,18.84,1,89.88,0.4285135795624912,ecole
86,6.23359185482481,1.21,14.39,1,47.68,0.4605784771741881,ecole
87,5.9504968687751685,1.06,14.5,1,32.53,0.4804875204756737,ecole
88,6.759626881955051,1.39,14.18,1,38.16,0.4236015843377316,ecole
89,5.667676946418295,1.05,11.93,1,44.68,0.43681092465378246,ecole
90,3.026433429720428,1,6.22,1,18.62,0.3633162080768022,ecole
91,2.0470307079132706,1,3.62,1,29.18,0.31761993829931257,ecole
92,1.5633470098096893,1,2.58,1,13.54,0.2382447933588487,ecole
93,1.4412814897938713,1,2.22,1,10.33,0.2173645744055891,ecole
94,1.6058203151998565,1,2.61,1,14.57,0.2481014738973159,ecole
95,2.0527267626230916,1,3.56,1,20.41,0.33262529943739,ecole
972,4.228441986596739,1.14,8.22,1,28.55,0.37217455320158727,ecole
974,3.7592673384268998,1,7.7,1,89.11,0.45928377718142965,ecole
FR,8.141040699478836,2.31,15.29,1,188.17,0.3483054070700324,inegalites-france-services
01,8.52720374514904,2.41,15.36,1,39.55,0.3315108899484915,inegalites-france-services
02,8.824221371769966,2.17,17.44,1,36.61,0.34818924824669295,inegalites-france-services
03,9.78762319161568,2.23,17.23,1,45.84,0.33724247224612813,inegalites-france-services
04,8.895248588123918,1.73,16.756000000000057,1,57.94,0.39684385947421624,inegalites-france-services
05,10.218261419714032,2.08,17.59,1,73.09,0.3585626774937595,inegalites-france-services
06,7.336677667687461,2.28,13.02,1,144.08,0.3465499207200158,inegalites-france-services
07,10.352718200184125,2.44,18.64,1,59.11,0.33809945515356565,inegalites-france-services
08,6.373986468482454,1.44,12.72,1,33.52,0.3880197507305718,inegalites-france-services
09,8.161615353940928,1.83,16.73,1,48.61,0.4070571148675426,inegalites-france-services
10,8.951389104400928,2.26,15.75,1,37.05,0.3198591127763296,inegalites-france-services
11,8.036408517498412,1.93,14.45,1,46.5,0.3502529451059345,inegalites-france-services
12,10.46428436940199,2,19.23,1,49.41,0.36205915295422475,inegalites-france-services
13,7.640520451575004,2.48,15.72,1,87.12,0.36930969275422126,inegalites-france-services
14,6.697907226895856,1.87,12.1,1,33.54,0.3301353869216896,inegalites-france-services
15,10.395961040959758,2.2,19.39,1,36.66,0.35283514112995545,inegalites-france-services
16,7.837067994417993,1.85,14.75,1,28.28,0.34303289666475423,inegalites-france-services
17,7.983136252917815,2.37,13.78,1,44.21,0.3089563443555798,inegalites-france-services
18,8.343944320537735,1.95,14.41,1,58.63,0.3242270467439449,inegalites-france-services
19,10.56735257375175,3.12,18.78,1,37.5,0.30341056859863136,inegalites-france-services
21,8.242205578388251,2.39,14.34,1,41.9,0.3054970292997641,inegalites-france-services
22,9.979430949968046,2.71,16.97,1,37.1,0.3171649465417568,inegalites-france-services
23,10.631934972316943,1.82,17.36,1,31.76,0.290696820426064,inegalites-france-services
24,9.205403424613609,2.44,17.07,1,46.49,0.34358602221189766,inegalites-france-services
25,9.869985878749635,2.48,17.46,1,49.1,0.3276848336991087,inegalites-france-services
